Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-178,0,0,0,0
0,-177,0,0,0,0
0,-176,0,0,0,0
0,-175,0,0,0,0
0,-174,0,0,0,0
0,-173,0,0,0,0
0,-172,0,0,0,0
0,-171,0,0,0,0
0,-170,0,0,0,0
0,-169,0,0,0,0
0,-168,0,0,0,0
0,-167,0,0,0,0
0,-166,0,0,0,0
0,-165,0,0,0,0
0,-164,0,0,0,0
0,-163,0,0,0,0
0,-162,0,0,0,0
0,-161,0,0,0,0
0,-160,0,0,0,0
0,-159,0,0,0,0
0,-158,0,0,0,0
0,-157,0,0,0,0
0,-156,0,0,0,0
0,-155,0,0,0,0
0,-154,0,0,3,0
0,-153,0,0,3,0
0,-152,0,0,0,0
0,-151,0,0,3,0
0,-150,0,0,3,0
0,-149,0,0,0,0
0,-148,0,0,12,0
0,-147,0,0,12,0
0,-146,0,0,0,0
0,-145,0,0,15,0
0,-144,0,0,15,0
0,-143,0,0,0,0
0,-142,0,0,27,0
0,-141,0,0,27,0
0,-140,0,0,0,0
0,-139,0,0,39,0
0,-138,0,0,39,0
0,-137,0,0,0,3
0,-136,0,0,75,3
0,-135,0,0,75,0
0,-134,0,0,0,3
0,-133,0,0,87,3
0,-132,0,0,87,3
0,-131,0,0,0,3
0,-130,0,0,177,6
0,-129,0,0,165,9
0,-128,0,0,0,6
0,-127,0,0,192,3
0,-126,0,0,183,9
0,-125,0,0,3,18
0,-124,0,0,375,9
0,-123,0,0,294,9
0,-122,0,0,3,15
0,-121,0,0,468,18
0,-120,0,0,384,24
0,-119,0,0,21,18
0,-118,0,0,741,33
0,-117,0,0,567,24
0,-116,0,0,9,42
0,-115,0,0,1386,57
0,-114,0,0,651,42
0,-113,0,0,9,54
0,-112,0,0,1818,75
0,-111,0,0,1020,126
0,-110,0,0,102,69
0,-109,0,0,2838,114
0,-108,0,0,1185,114
0,-107,0,0,33,162
0,-106,0,0,3879,174
0,-105,0,0,1830,183
0,-104,0,0,63,249
0,-103,0,0,5058,285
0,-102,0,0,2220,309
0,-101,0,0,78,318
0,-100,0,0,7575,468
0,-99,0,0,3264,531
0,-98,0,0,123,603
0,-97,0,0,26889,723
0,-96,0,0,20790,819
0,-95,0,0,267,1101
0,-94,0,0,29676,1350
0,-93,0,0,5358,1599
0,-92,0,0,543,1854
0,-91,0,0,78303,2142
0,-90,0,0,38613,2352
